"filename", "language", "Dart", "comment", "blank", "total"
"c:\Users\A Azi A\Documents\App\finance\lib\extensions\stringExt.dart", "Dart", 71, 3, 14, 88
"c:\Users\A Azi A\Documents\App\finance\lib\main.dart", "Dart", 62, 7, 8, 77
"c:\Users\A Azi A\Documents\App\finance\lib\models\account\account.dart", "Dart", 21, 0, 5, 26
"c:\Users\A Azi A\Documents\App\finance\lib\models\portfolio\portfolio.dart", "Dart", 25, 0, 9, 34
"c:\Users\A Azi A\Documents\App\finance\lib\models\quote\quote.dart", "Dart", 55, 1, 15, 71
"c:\Users\A Azi A\Documents\App\finance\lib\models\user\user.dart", "Dart", 7, 0, 2, 9
"c:\Users\A Azi A\Documents\App\finance\lib\pages\calender\calender.dart", "Dart", 357, 1, 42, 400
"c:\Users\A Azi A\Documents\App\finance\lib\pages\calender\dividendSectionCard.dart", "Dart", 117, 0, 4, 121
"c:\Users\A Azi A\Documents\App\finance\lib\pages\calender\viewDividend.dart", "Dart", 90, 0, 8, 98
"c:\Users\A Azi A\Documents\App\finance\lib\pages\community\community.dart", "Dart", 138, 1, 7, 146
"c:\Users\A Azi A\Documents\App\finance\lib\pages\community\createPost.dart", "Dart", 105, 0, 7, 112
"c:\Users\A Azi A\Documents\App\finance\lib\pages\community\postCard.dart", "Dart", 256, 3, 15, 274
"c:\Users\A Azi A\Documents\App\finance\lib\pages\community\report.dart", "Dart", 156, 0, 12, 168
"c:\Users\A Azi A\Documents\App\finance\lib\pages\community\socialPostCard.dart", "Dart", 203, 1, 17, 221
"c:\Users\A Azi A\Documents\App\finance\lib\pages\community\viewPost.dart", "Dart", 160, 5, 14, 179
"c:\Users\A Azi A\Documents\App\finance\lib\pages\home\create.dart", "Dart", 90, 1, 8, 99
"c:\Users\A Azi A\Documents\App\finance\lib\pages\home\dashboard.dart", "Dart", 206, 2, 21, 229
"c:\Users\A Azi A\Documents\App\finance\lib\pages\home\info.dart", "Dart", 140, 2, 9, 151
"c:\Users\A Azi A\Documents\App\finance\lib\pages\home\passwordReset.dart", "Dart", 132, 1, 10, 143
"c:\Users\A Azi A\Documents\App\finance\lib\pages\login_register\agreements.dart", "Dart", 32, 232, 7, 271
"c:\Users\A Azi A\Documents\App\finance\lib\pages\login_register\login.dart", "Dart", 273, 2, 14, 289
"c:\Users\A Azi A\Documents\App\finance\lib\pages\login_register\signup.dart", "Dart", 351, 1, 16, 368
"c:\Users\A Azi A\Documents\App\finance\lib\pages\login_register\verify.dart", "Dart", 84, 1, 12, 97
"c:\Users\A Azi A\Documents\App\finance\lib\pages\search\search.dart", "Dart", 222, 0, 8, 230
