"filename", "language", "YAML", "Groovy", "Java Properties", "Dart", "Markdown", "XML", "JSON", "C++", "Swift", "comment", "blank", "total"
"c:\Users\A Azi A\Documents\App\finance\lib\shared\pageLoaders\additionConfirm.dart", "Dart", 0, 0, 0, 82, 0, 0, 0, 0, 0, 0, 4, 86
"c:\Users\A Azi A\Documents\App\finance\lib\shared\pageLoaders\noEvents.dart", "Dart", 0, 0, 0, 52, 0, 0, 0, 0, 0, 0, 4, 56
"c:\Users\A Azi A\Documents\App\finance\lib\shared\pageLoaders\noHolding.dart", "Dart", 0, 0, 0, 34, 0, 0, 0, 0, 0, 0, 4, 38
"c:\Users\A Azi A\Documents\App\finance\lib\shared\pageLoaders\noPortfolio.dart", "Dart", 0, 0, 0, 53, 0, 0, 0, 0, 0, 0, 4, 57
"c:\Users\A Azi A\Documents\App\finance\lib\shared\pageLoaders\noPosts.dart", "Dart", 0, 0, 0, 44, 0, 0, 0, 0, 0, 0, 4, 48
"c:\Users\A Azi A\Documents\App\finance\lib\shared\pageLoaders\noSearchResult.dart", "Dart", 0, 0, 0, 60, 0, 0, 0, 0, 0, 0, 4, 64
"c:\Users\A Azi A\Documents\App\finance\lib\shared\pageLoaders\offline.dart", "Dart", 0, 0, 0, 56, 0, 0, 0, 0, 0, 0, 3, 59
"c:\Users\A Azi A\Documents\App\finance\lib\shared\pageLoaders\removalConfirm.dart", "Dart", 0, 0, 0, 82, 0, 0, 0, 0, 0, 0, 4, 86
"c:\Users\A Azi A\Documents\App\finance\lib\shared\pageLoaders\searchWelcome.dart", "Dart", 0, 0, 0, 58, 0, 0, 0, 0, 0, 0, 4, 62
"c:\Users\A Azi A\Documents\App\finance\lib\shared\permissions\getPermissions.dart", "Dart", 0, 0, 0, 42, 0, 0, 0, 0, 0, 0, 8, 50
"c:\Users\A Azi A\Documents\App\finance\lib\shared\printFunctions\custom_Print_Functions.dart", "Dart", 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 3, 18
"c:\Users\A Azi A\Documents\App\finance\lib\shared\sample\sampleData.dart", "Dart", 0, 0, 0, 75, 0, 0, 0, 0, 0, 0, 12, 87
"c:\Users\A Azi A\Documents\App\finance\lib\shared\themes\themes.dart", "Dart", 0, 0, 0, 160, 0, 0, 0, 0, 0, 0, 15, 175
"c:\Users\A Azi A\Documents\App\finance\lib\shared\units\units.dart", "Dart", 0, 0, 0, 26, 0, 0, 0, 0, 0, 0, 22, 48
"c:\Users\A Azi A\Documents\App\finance\pubspec.yaml", "YAML", 50, 0, 0, 0, 0, 0, 0, 0, 0, 96, 12, 158
"Total", "-", 50, 109, 9, 8061, 13, 259, 301, 1, 12, 900, 1073, 10788
