"filename", "language", "Dart", "comment", "blank", "total"
"c:\Users\A Azi A\Documents\App\finance\lib\shared\dataObject\data_object.dart", "Dart", 51, 0, 17, 68
"c:\Users\A Azi A\Documents\App\finance\lib\shared\dateFormat\customeDateFormatter.dart", "Dart", 223, 1, 14, 238
"c:\Users\A Azi A\Documents\App\finance\lib\shared\decoration\customDecoration.dart", "Dart", 65, 12, 13, 90
"c:\Users\A Azi A\Documents\App\finance\lib\shared\disclaimers\disclaimers.dart", "Dart", 3, 0, 2, 5
"c:\Users\A Azi A\Documents\App\finance\lib\shared\disclaimers\disclaimersWidget.dart", "Dart", 31, 0, 4, 35
"c:\Users\A Azi A\Documents\App\finance\lib\shared\dividends\dividends.dart", "Dart", 159, 0, 13, 172
"c:\Users\A Azi A\Documents\App\finance\lib\shared\earnings\earnings.dart", "Dart", 89, 0, 11, 100
"c:\Users\A Azi A\Documents\App\finance\lib\shared\files\fileHandler.dart", "Dart", 63, 0, 15, 78
"c:\Users\A Azi A\Documents\App\finance\lib\shared\inputDecoration\inputDecoration.dart", "Dart", 46, 1, 4, 51
"c:\Users\A Azi A\Documents\App\finance\lib\shared\pageLoaders\accountDeleted.dart", "Dart", 61, 0, 3, 64
"c:\Users\A Azi A\Documents\App\finance\lib\shared\pageLoaders\additionConfirm.dart", "Dart", 82, 0, 4, 86
"c:\Users\A Azi A\Documents\App\finance\lib\shared\pageLoaders\noEvents.dart", "Dart", 52, 0, 4, 56
"c:\Users\A Azi A\Documents\App\finance\lib\shared\pageLoaders\noHolding.dart", "Dart", 34, 0, 4, 38
"c:\Users\A Azi A\Documents\App\finance\lib\shared\pageLoaders\noPortfolio.dart", "Dart", 53, 0, 4, 57
"c:\Users\A Azi A\Documents\App\finance\lib\shared\pageLoaders\noPosts.dart", "Dart", 44, 0, 4, 48
"c:\Users\A Azi A\Documents\App\finance\lib\shared\pageLoaders\noSearchResult.dart", "Dart", 60, 0, 4, 64
"c:\Users\A Azi A\Documents\App\finance\lib\shared\pageLoaders\offline.dart", "Dart", 56, 0, 3, 59
"c:\Users\A Azi A\Documents\App\finance\lib\shared\pageLoaders\removalConfirm.dart", "Dart", 82, 0, 4, 86
"c:\Users\A Azi A\Documents\App\finance\lib\shared\pageLoaders\searchWelcome.dart", "Dart", 58, 0, 4, 62
"c:\Users\A Azi A\Documents\App\finance\lib\shared\permissions\getPermissions.dart", "Dart", 42, 0, 8, 50
"c:\Users\A Azi A\Documents\App\finance\lib\shared\printFunctions\custom_Print_Functions.dart", "Dart", 15, 0, 3, 18
"c:\Users\A Azi A\Documents\App\finance\lib\shared\sample\sampleData.dart", "Dart", 75, 0, 12, 87
"c:\Users\A Azi A\Documents\App\finance\lib\shared\themes\themes.dart", "Dart", 160, 0, 15, 175
"c:\Users\A Azi A\Documents\App\finance\lib\shared\units\units.dart", "Dart", 26, 0, 22, 48
"Total", "-", 8061, 764, 1003, 9828
